"md_id","busi_date","region_name","org_level","total_orders","process_orders","pending_orders","night_orders","cancelled_orders","avg_response_time","avg_finish_time","first_contact_resolved","escalation_cnt","repeat_cnt","online_channel_cnt","phone_channel_cnt","email_channel_cnt","mobile_app_cnt","alert_timeout_sign_orders","alert_timeout_process_orders","alert_repeat_exceed_orders","alert_sentiment_keyword_orders","high_priority_cnt","medium_priority_cnt","low_priority_cnt","overdue_pct","satisfaction_score","handler_cnt","bot_handled_cnt","handover_cnt","top_keyword_1","top_keyword_1_cnt","top_keyword_2","top_keyword_2_cnt","top_keyword_3","top_keyword_3_cnt","early_response_orders","late_response_orders","avg_wait_time_user","repeat_user_cnt","first_time_user_cnt","multi_channel_user_cnt","escalated_user_cnt","followup_orders","feedback_received_cnt","auto_reply_cnt","manual_reply_cnt","satisfaction_survey_sent","satisfaction_survey_responded","avg_survey_response_time"
369,"2022-07-01",A县,2,552,430,122,35,9,23.74,77.87,55,32,26,141,33,151,227,35,51,15,8,180,147,225,4.76,46.25,9,149,100,物业,376,供暖,313,交通,368,271,54,98.76,131,24,109,19,339,204,134,246,372,46,36.01
370,"2022-07-01",B县,2,605,582,23,16,34,98.22,39.13,64,5,7,179,117,243,66,13,16,20,26,246,106,253,15.0,31.48,12,194,52,供暖,291,噪音,566,扰民,574,248,313,75.77,14,18,14,2,110,39,100,235,119,78,85.21
371,"2022-07-01",A1镇,3,457,428,29,157,16,258.0,73.84,96,16,3,67,232,119,39,35,41,5,3,94,256,107,0.63,35.81,20,100,63,供暖,45,排水,160,道路,258,37,365,28.05,84,200,15,197,74,32,310,33,394,303,95.4
372,"2022-07-01",B1镇,3,190,175,15,84,19,63.9,36.65,0,9,7,12,70,57,51,6,5,5,15,16,17,157,14.85,80.52,19,2,7,供暖,29,施工,116,网络,76,5,97,82.95,112,71,171,163,32,0,27,11,126,89,11.18
373,"2022-07-02",A市,1,924,818,106,114,22,76.47,40.26,130,92,17,138,142,49,595,16,12,8,82,374,248,302,16.86,30.26,7,370,156,扰民,539,消防,523,供水,649,384,451,29.54,134,422,244,51,547,293,68,682,392,176,27.6
374,"2022-07-02",B市,1,130,110,20,37,4,282.02,33.6,14,1,4,47,28,10,45,7,9,1,2,41,4,85,4.79,87.23,17,100,17,道路,79,消防,113,路灯,128,73,26,63.18,35,92,59,117,38,37,54,4,40,38,18.15
375,"2022-07-02",A县,2,643,514,129,159,57,24.97,34.5,41,23,0,46,221,145,231,1,51,28,19,216,86,341,16.42,98.99,4,105,18,交通,533,物业,206,垃圾,494,437,81,71.59,191,305,483,2,446,167,351,23,426,22,33.35
376,"2022-07-02",B县,2,808,620,188,197,60,282.41,74.21,65,44,18,66,290,347,105,48,45,22,10,291,204,313,11.09,59.38,3,530,86,违建,151,信号,192,供水,466,300,254,24.46,430,33,348,36,377,209,130,180,16,1,30.79
377,"2022-07-02",A1镇,3,978,815,163,226,14,259.79,41.47,187,6,11,486,91,251,150,50,78,31,91,357,156,465,12.76,97.67,17,225,134,噪音,171,供水,334,宽带,197,655,264,61.93,133,286,149,19,83,49,457,355,42,6,48.91
378,"2022-07-02",B1镇,3,933,779,154,269,63,245.9,46.59,136,65,9,201,41,297,394,6,91,38,31,327,317,289,10.3,34.44,11,513,150,停车,620,供电,299,污染,627,322,554,79.82,68,24,11,48,435,109,245,513,213,53,84.09
379,"2022-07-03",A市,1,205,178,27,48,0,32.49,94.17,30,5,9,65,51,5,84,20,15,5,1,45,152,8,8.72,54.25,15,104,36,物业,202,道路,101,维修,31,105,65,64.0,46,126,48,109,106,36,52,43,85,22,55.27
380,"2022-07-03",B市,1,982,804,178,249,1,34.22,41.76,125,73,40,418,57,443,64,27,7,47,23,253,716,13,5.19,75.88,17,714,80,漏水,274,供电,776,扰民,496,94,150,54.37,574,262,745,696,477,285,711,80,569,304,15.03
381,"2022-07-03",A县,2,281,265,16,47,17,279.87,40.55,19,9,7,94,42,69,76,0,14,12,2,117,101,63,10.28,43.27,14,78,52,电梯,139,维修,41,供电,78,110,56,92.4,30,44,37,20,111,47,88,93,70,53,94.73
382,"2022-07-03",B县,2,631,526,105,103,37,290.74,62.87,143,22,13,225,102,43,261,50,46,21,53,285,139,207,2.75,43.37,9,111,30,网络,352,物业,516,安全,284,76,407,91.28,1,87,80,62,108,53,121,378,133,42,43.5
383,"2022-07-03",A1镇,3,199,158,41,56,3,157.25,52.82,25,1,3,69,17,62,51,1,14,1,4,12,105,82,8.7,31.65,9,143,33,排水,104,维修,103,交通,145,92,68,86.07,23,20,32,20,129,78,13,58,27,12,69.96
384,"2022-07-03",B1镇,3,347,314,33,78,33,88.39,82.26,34,31,14,56,143,128,20,7,22,0,2,156,77,114,13.57,93.44,2,66,48,绿化,104,宽带,202,停电,120,157,89,86.02,100,19,0,46,86,1,241,56,32,25,72.31
385,"2022-07-04",A市,1,898,843,55,146,14,111.45,77.98,198,27,11,277,139,278,204,40,18,38,2,396,153,349,2.44,72.31,9,616,53,外卖,696,安全,539,网络,614,51,653,94.66,14,318,93,173,733,403,573,257,295,164,22.61
386,"2022-07-04",B市,1,728,665,63,119,18,284.22,36.89,9,36,24,226,191,11,300,35,30,4,8,248,170,310,7.0,82.57,12,189,88,停车,570,绿化,198,消防,337,43,161,13.89,303,315,198,464,151,69,516,35,328,137,53.9
387,"2022-07-04",A县,2,882,849,33,354,43,85.5,53.68,70,43,26,10,399,51,422,72,30,18,51,170,351,361,9.7,55.96,10,631,87,快递,135,施工,189,供电,137,497,54,62.4,7,393,95,250,535,391,680,17,385,225,54.79
388,"2022-07-04",B县,2,861,755,106,120,19,156.36,43.36,157,36,25,158,494,13,196,67,25,29,39,378,148,335,12.86,96.68,3,267,132,燃气,452,违建,206,噪音,613,710,55,36.55,23,10,13,7,438,269,70,420,481,383,94.84
389,"2022-07-04",A1镇,3,991,946,45,319,7,120.35,95.38,125,15,18,34,282,321,354,92,65,14,13,78,455,458,19.93,37.09,1,21,179,停车,881,电梯,645,消防,295,538,305,73.55,643,70,540,591,235,152,808,79,184,90,78.21
390,"2022-07-04",B1镇,3,637,524,113,20,60,190.13,93.56,150,58,1,141,221,180,95,43,5,24,53,130,258,249,14.71,36.84,3,98,107,外卖,361,排水,626,污染,576,308,297,68.73,75,131,62,141,462,20,416,69,62,14,66.88
391,"2022-07-05",A市,1,141,118,23,37,2,187.24,59.5,33,12,1,39,22,40,40,1,13,1,6,61,34,46,0.23,84.57,14,73,26,卫生,27,交通,111,消防,139,141,0,17.58,28,109,75,128,115,95,0,48,48,11,92.02
392,"2022-07-05",B市,1,299,231,68,35,11,14.89,45.46,20,2,4,89,58,125,27,0,5,13,29,131,114,54,17.53,93.75,12,225,17,电梯,210,供水,246,交通,185,169,94,42.82,63,82,107,107,139,0,110,112,26,15,78.88
393,"2022-07-05",A县,2,818,771,47,227,67,244.55,68.41,32,48,39,221,379,201,17,79,14,21,64,48,175,595,15.36,58.49,5,754,92,安全,152,卫生,742,道路,138,774,1,99.73,415,146,472,303,541,187,280,470,116,50,26.32
394,"2022-07-05",B县,2,548,484,64,191,6,258.51,41.02,12,21,7,6,149,180,213,43,3,22,50,155,135,258,5.07,76.75,18,472,2,电梯,262,扰民,493,快递,398,290,146,13.57,21,459,246,406,467,342,110,282,384,20,29.55
395,"2022-07-05",A1镇,3,633,619,14,215,17,82.04,62.87,174,32,3,163,124,187,159,10,2,26,10,250,108,275,18.55,96.99,4,322,93,外卖,576,安全,426,漏水,416,122,215,21.56,6,80,67,28,402,401,418,21,328,69,36.68
396,"2022-07-05",B1镇,3,871,871,0,396,58,23.29,55.01,259,63,2,290,0,326,255,29,39,1,71,334,308,229,9.6,40.75,11,652,17,安全,287,消防,855,停电,473,255,203,37.14,766,84,546,489,520,20,484,302,519,470,39.04
397,"2022-07-06",A市,1,646,593,53,194,50,210.75,84.24,125,35,12,180,200,47,219,62,46,4,13,56,275,315,17.14,41.6,18,249,43,垃圾,89,电梯,508,停电,527,425,215,58.67,523,27,116,298,187,35,346,129,22,8,58.31
398,"2022-07-06",B市,1,251,242,9,23,15,242.88,30.25,23,10,7,15,28,23,185,18,2,2,8,135,98,18,2.87,47.75,19,184,42,物业,149,噪音,205,外卖,38,17,9,85.47,7,47,16,37,144,117,39,25,222,136,80.47
399,"2022-07-06",A县,2,561,474,87,108,56,95.86,47.4,113,46,19,185,160,153,63,27,17,21,26,103,149,309,10.4,62.31,8,82,26,燃气,72,宽带,518,外卖,191,93,382,14.49,149,26,43,37,49,17,8,425,447,112,46.59
400,"2022-07-06",B县,2,622,618,4,264,52,182.49,97.69,56,61,7,180,178,161,103,47,11,4,10,299,183,140,5.15,49.04,11,138,85,污染,327,物业,214,道路,280,399,218,45.04,319,5,7,266,498,410,409,14,269,2,68.15
401,"2022-07-06",A1镇,3,531,422,109,32,22,30.73,41.29,110,38,8,269,174,31,57,20,14,16,8,132,112,287,18.92,84.93,20,188,25,网络,94,违建,391,噪音,84,110,243,26.35,278,147,342,45,38,17,52,156,191,142,47.13
402,"2022-07-06",B1镇,3,496,487,9,52,24,297.51,58.28,84,30,14,99,26,153,218,4,43,9,27,89,285,122,1.75,75.97,9,155,48,漏水,319,扰民,135,维修,132,293,69,70.62,120,296,316,339,470,150,112,105,81,8,60.55
403,"2022-07-07",A市,1,288,250,38,135,1,246.52,61.44,56,2,14,39,43,123,83,23,19,11,17,173,9,106,5.98,50.91,16,92,13,消防,266,信号,81,扰民,237,79,75,11.99,116,74,78,85,213,131,13,3,215,49,72.36
404,"2022-07-07",B市,1,133,125,8,34,9,21.76,40.99,10,10,3,41,36,39,17,11,12,0,9,35,82,16,0.77,92.93,12,2,6,外卖,19,排水,69,信号,19,12,47,45.39,43,22,32,20,98,78,102,0,50,6,97.91
405,"2022-07-07",A县,2,265,203,62,7,3,31.89,89.09,8,10,10,54,35,59,117,8,9,5,26,69,77,119,11.95,34.06,14,32,2,燃气,76,供电,214,物业,111,91,72,32.61,9,182,189,6,168,160,181,20,181,8,57.55
406,"2022-07-07",B县,2,243,235,8,112,14,290.82,41.7,5,12,4,91,87,55,10,5,11,3,5,35,167,41,15.12,90.19,5,81,43,施工,162,道路,64,维修,102,208,16,79.02,88,70,88,31,78,10,42,108,71,63,31.32
407,"2022-07-07",A1镇,3,156,150,6,1,13,155.11,76.41,16,14,5,13,54,28,61,5,0,0,13,82,5,69,4.76,49.05,9,149,16,绿化,28,信号,32,外卖,150,11,58,59.62,12,82,25,93,72,21,90,57,10,2,47.3
408,"2022-07-07",B1镇,3,250,224,26,21,12,133.76,78.85,54,14,11,3,43,146,58,3,14,9,21,85,97,68,7.3,80.44,2,148,42,交通,167,违建,154,停电,81,166,61,59.33,73,114,121,129,109,77,3,193,70,32,79.52
409,"2022-07-08",A市,1,325,287,38,97,25,228.93,99.62,74,15,9,72,104,6,143,7,16,1,30,189,99,37,8.18,68.83,9,33,52,卫生,315,违建,134,施工,169,291,22,90.43,114,198,118,189,208,69,218,17,40,29,42.16
410,"2022-07-08",B市,1,856,755,101,69,54,42.83,84.21,135,29,10,460,101,101,194,45,41,19,79,65,372,419,16.84,78.91,3,353,163,物业,478,漏水,321,供暖,514,829,3,32.17,25,361,321,162,696,481,470,6,233,63,26.88
411,"2022-07-08",A县,2,515,427,88,239,7,90.33,69.89,77,20,3,88,204,188,35,14,17,15,17,49,416,50,6.86,42.93,1,375,11,宽带,482,污染,184,供暖,120,322,30,44.65,185,266,276,281,183,88,81,286,411,176,12.63
412,"2022-07-08",B县,2,579,457,122,51,57,204.75,70.24,95,51,20,287,190,27,75,44,54,20,13,198,274,107,7.4,45.6,15,86,96,路灯,390,信号,355,宽带,89,126,285,81.18,2,199,23,174,437,173,80,271,249,153,37.84
413,"2022-07-08",A1镇,3,674,604,70,42,65,178.81,90.17,158,33,16,170,65,248,191,1,17,33,40,197,111,366,6.79,44.62,8,236,117,扰民,359,网络,229,排水,255,404,137,47.96,647,11,100,222,323,315,454,99,360,108,76.5
414,"2022-07-08",B1镇,3,597,455,142,72,50,298.73,36.03,124,33,9,191,110,206,90,38,38,8,45,104,240,253,15.39,39.66,1,147,71,供暖,195,道路,442,网络,293,396,190,43.58,24,261,153,11,346,87,281,154,348,170,34.97
415,"2022-07-09",A市,1,121,111,10,39,7,81.32,85.53,16,11,1,16,43,23,39,1,7,5,7,54,32,35,18.66,70.53,9,30,6,违建,51,供水,87,停车,93,52,26,51.22,11,10,5,11,48,21,54,8,39,38,70.64
416,"2022-07-09",B市,1,968,863,105,332,40,287.04,58.84,132,28,43,211,368,152,237,21,35,12,67,313,345,310,7.32,51.74,8,545,117,噪音,644,路灯,776,安全,826,596,120,49.5,66,74,43,3,520,183,385,113,540,282,38.1
417,"2022-07-09",A县,2,463,376,87,138,22,213.86,83.83,46,36,19,114,196,82,71,8,33,0,34,237,108,118,14.12,90.34,12,182,81,道路,348,污染,142,噪音,147,116,56,48.39,107,209,100,84,192,21,6,326,217,196,70.01
418,"2022-07-09",B县,2,776,631,145,0,5,299.5,58.49,157,41,28,235,72,221,248,8,66,18,36,53,306,417,10.29,32.32,10,361,20,漏水,206,维修,379,停电,438,411,136,74.49,569,200,415,638,269,215,174,7,619,441,31.44
419,"2022-07-09",A1镇,3,499,380,119,61,35,36.72,39.43,111,24,7,159,12,245,83,1,31,13,41,57,199,243,14.15,36.96,11,28,57,交通,430,电梯,110,消防,139,282,69,64.09,37,48,52,39,224,133,281,2,4,2,33.17
420,"2022-07-09",B1镇,3,171,139,32,74,15,244.65,32.68,7,14,1,54,56,41,20,16,5,5,3,70,79,22,18.17,62.61,11,62,11,扰民,62,噪音,92,停车,123,38,50,37.93,12,91,30,5,9,1,57,22,101,67,86.42
421,"2022-07-10",A市,1,827,807,20,199,43,281.97,61.35,175,61,14,327,304,94,102,58,19,11,2,471,235,121,0.65,82.15,6,740,104,垃圾,563,噪音,427,外卖,369,499,136,84.12,578,165,503,239,499,408,760,4,104,91,70.66
422,"2022-07-10",B市,1,179,167,12,7,15,252.7,99.99,39,12,7,27,24,64,64,15,14,5,10,71,48,60,11.42,73.58,17,89,35,宽带,27,噪音,134,施工,152,157,2,61.19,70,42,63,15,121,19,1,145,74,4,76.79
423,"2022-07-10",A县,2,658,639,19,203,43,210.0,88.51,150,53,16,195,220,243,0,49,33,12,34,319,125,214,18.07,85.16,19,335,23,电梯,305,绿化,592,交通,240,365,272,61.15,46,25,10,53,221,58,417,149,367,133,97.79
424,"2022-07-10",B县,2,614,604,10,54,22,229.74,52.16,46,3,23,150,109,189,166,58,6,21,30,453,126,35,12.58,74.38,20,198,104,施工,181,垃圾,145,交通,457,523,80,93.88,201,357,260,32,538,63,352,53,97,15,39.56
425,"2022-07-10",A1镇,3,753,655,98,101,57,264.75,71.85,186,10,5,372,40,64,277,1,53,20,75,170,328,255,4.32,83.38,9,316,125,扰民,114,物业,471,垃圾,656,459,233,54.81,625,12,321,136,415,400,419,101,519,514,75.98
426,"2022-07-10",B1镇,3,695,602,93,341,23,262.25,51.53,146,44,31,74,336,266,19,55,49,0,31,511,8,176,5.67,37.07,16,406,124,垃圾,186,停车,289,网络,519,682,8,54.3,17,224,5,59,522,333,185,144,57,51,20.82
427,"2022-07-11",A市,1,973,763,210,359,86,195.89,66.91,30,26,36,172,286,255,260,73,83,19,55,325,305,343,14.51,40.77,1,279,99,噪音,878,排水,779,扰民,652,307,87,85.69,43,7,22,37,155,47,165,554,330,186,72.04
428,"2022-07-11",B市,1,210,185,25,61,15,216.81,89.09,20,2,10,73,12,48,77,16,9,4,7,85,88,37,7.35,70.16,10,55,30,信号,59,外卖,96,燃气,191,40,68,52.26,34,87,119,44,151,140,119,0,24,22,69.27
429,"2022-07-11",A县,2,748,570,178,279,14,53.45,51.49,36,45,21,52,136,198,362,35,70,33,25,159,391,198,4.0,78.83,3,452,9,道路,263,消防,571,施工,550,408,138,81.38,18,651,72,146,497,305,61,431,2,2,65.27
430,"2022-07-11",B县,2,322,285,37,70,19,74.53,50.68,57,6,2,90,73,63,96,18,15,0,19,63,131,128,18.79,86.26,1,53,10,安全,47,噪音,76,网络,268,137,44,92.26,242,72,123,242,285,153,6,24,55,18,34.69
431,"2022-07-11",A1镇,3,426,370,56,112,3,72.46,99.41,75,34,15,207,152,4,63,35,34,21,32,85,291,50,15.31,59.65,20,76,13,垃圾,221,施工,205,扰民,339,413,2,61.13,93,325,76,304,285,47,316,50,355,198,16.22
432,"2022-07-11",B1镇,3,663,605,58,83,4,52.48,60.31,5,21,25,23,313,95,232,24,18,9,29,497,147,19,2.04,88.65,15,17,95,燃气,134,绿化,136,供暖,299,99,463,64.79,3,3,5,3,400,156,303,58,51,20,55.63
433,"2022-07-12",A市,1,574,437,137,115,13,165.14,97.15,68,23,24,184,108,187,95,0,0,15,10,63,327,184,5.91,30.39,16,19,15,宽带,91,供电,257,物业,127,544,27,69.15,81,18,15,79,207,25,380,22,277,268,57.55
434,"2022-07-12",B市,1,816,779,37,374,29,170.93,57.96,140,4,37,398,243,40,135,23,79,14,3,607,189,20,16.15,75.36,16,593,54,漏水,377,安全,356,绿化,799,252,54,42.25,89,147,203,183,266,123,359,248,38,28,39.5
435,"2022-07-12",A县,2,636,635,1,18,7,31.26,50.7,18,14,3,337,199,72,28,4,9,17,14,292,89,255,16.0,87.05,18,3,97,卫生,450,维修,271,停电,483,100,513,74.25,402,191,48,64,43,28,20,589,405,1,16.91
436,"2022-07-12",B县,2,480,457,23,207,5,122.06,81.7,66,45,12,98,158,53,171,10,32,24,8,219,105,156,6.73,94.13,14,299,12,燃气,330,快递,421,消防,355,32,180,55.36,434,8,296,100,210,158,159,216,448,389,70.96
437,"2022-07-12",A1镇,3,201,195,6,5,8,273.63,82.27,38,8,6,55,15,47,84,5,13,9,12,52,81,68,8.53,54.86,9,131,19,施工,182,安全,25,交通,132,66,118,15.49,69,4,26,33,80,73,120,51,155,118,50.8
438,"2022-07-12",B1镇,3,537,406,131,97,27,175.76,86.32,44,50,22,133,140,75,189,1,44,7,30,338,27,172,16.79,37.57,1,50,22,交通,404,物业,271,施工,110,7,208,75.73,146,6,61,125,391,7,224,60,264,116,68.96
439,"2022-07-13",A市,1,685,629,56,209,18,199.72,59.98,107,21,29,228,93,179,185,47,15,21,24,235,433,17,16.71,53.17,1,396,96,交通,234,污染,472,噪音,608,88,347,14.81,392,76,85,105,115,2,126,252,416,55,77.17
440,"2022-07-13",B市,1,668,516,152,160,23,208.03,83.89,68,7,7,54,57,192,365,51,10,15,5,273,347,48,0.09,58.8,9,86,107,供水,627,违建,339,噪音,68,107,241,84.78,180,150,109,165,432,253,70,86,224,14,93.04
441,"2022-07-13",A县,2,372,286,86,28,11,93.65,84.76,73,2,9,28,52,76,216,9,18,6,27,150,88,134,13.96,97.85,18,140,73,违建,96,电梯,223,停车,47,302,50,82.54,240,0,88,186,116,32,253,11,249,52,14.92
442,"2022-07-13",B县,2,229,185,44,51,21,241.89,87.5,16,4,2,89,13,65,62,4,11,9,13,88,65,76,9.86,48.82,10,19,13,道路,122,路灯,211,供电,94,92,134,21.14,84,87,80,118,161,86,69,113,166,41,47.97
443,"2022-07-13",A1镇,3,556,448,108,213,52,18.15,78.72,45,15,14,1,182,306,67,40,28,27,47,128,289,139,12.62,93.24,5,243,87,供电,185,网络,516,噪音,198,135,113,79.86,96,140,86,183,228,100,268,69,127,29,54.56
444,"2022-07-13",B1镇,3,225,219,6,46,20,88.71,72.71,30,0,4,70,16,64,75,12,12,6,2,83,103,39,2.95,72.68,16,174,43,卫生,148,消防,170,排水,171,16,120,26.72,78,4,25,67,59,20,168,15,83,40,22.2
445,"2022-07-14",A市,1,715,707,8,110,24,76.19,61.43,124,48,31,56,18,295,346,2,25,25,65,286,288,141,16.07,81.57,10,613,129,网络,710,供水,701,交通,351,710,1,79.24,609,10,490,489,21,0,271,94,24,10,72.08
446,"2022-07-14",B市,1,318,305,13,158,3,237.61,50.99,85,10,12,16,114,103,85,7,9,10,11,167,49,102,0.33,92.06,4,127,23,噪音,183,绿化,129,交通,60,281,15,27.42,40,234,183,218,29,0,104,163,112,110,24.01
447,"2022-07-14",A县,2,329,307,22,143,31,232.48,40.12,23,8,12,116,86,109,18,31,20,3,7,231,82,16,1.54,56.02,2,4,20,燃气,281,违建,253,道路,189,189,107,15.65,208,0,87,168,199,197,100,183,138,125,21.28
448,"2022-07-14",B县,2,311,302,9,58,18,258.07,90.46,67,3,10,3,102,108,98,13,23,3,7,209,40,62,5.43,57.76,19,59,23,停电,241,扰民,258,漏水,216,8,12,63.15,98,188,123,156,162,139,240,43,130,89,47.62
449,"2022-07-14",A1镇,3,491,370,121,178,24,262.83,98.24,98,7,19,198,23,5,265,14,26,4,24,164,184,143,11.56,59.15,13,101,83,供电,272,噪音,257,停车,369,307,57,26.42,140,90,159,95,176,73,35,234,15,6,94.44
450,"2022-07-14",B1镇,3,341,289,52,99,16,128.47,87.64,46,28,4,34,47,183,77,19,25,6,19,81,163,97,4.85,50.03,4,208,45,噪音,92,交通,249,快递,275,63,2,18.18,66,33,44,88,176,94,186,82,278,270,55.75
451,"2022-07-15",A市,1,399,340,59,111,28,246.85,99.43,29,8,5,183,98,84,34,7,14,15,7,198,46,155,16.21,39.27,18,92,52,外卖,105,信号,240,物业,213,393,6,27.17,16,116,88,93,34,11,155,55,105,70,29.65
452,"2022-07-15",B市,1,361,299,62,44,11,287.49,94.64,78,28,5,80,98,72,111,12,27,12,22,58,89,214,18.16,90.26,10,254,34,电梯,305,施工,231,路灯,340,274,87,14.18,256,11,230,164,12,5,283,0,215,124,94.92
453,"2022-07-15",A县,2,673,522,151,24,39,23.69,57.53,19,62,25,163,78,240,192,32,12,17,59,32,210,431,16.27,47.46,10,108,72,供电,479,信号,551,外卖,488,260,187,12.5,70,465,98,423,288,40,159,143,160,28,21.69
454,"2022-07-15",B县,2,272,262,10,8,9,295.5,54.18,49,27,8,65,86,26,95,20,20,10,18,74,102,96,5.73,96.34,7,210,31,垃圾,259,外卖,207,卫生,122,6,227,74.06,14,92,2,34,12,3,251,10,102,9,87.92
455,"2022-07-15",A1镇,3,526,440,86,130,40,128.81,99.31,92,8,24,99,216,29,182,47,40,25,52,181,308,37,9.21,34.48,9,387,68,卫生,209,物业,445,垃圾,156,210,55,65.63,288,168,209,138,212,167,126,288,273,74,43.19
456,"2022-07-15",B1镇,3,870,694,176,414,23,80.41,76.32,178,31,36,434,31,395,10,40,69,2,71,37,138,695,0.45,34.88,1,557,53,排水,514,物业,583,卫生,634,171,493,98.07,339,456,597,242,366,126,594,80,218,41,49.85
457,"2022-07-16",A市,1,681,590,91,269,33,247.75,98.51,141,4,26,59,280,153,189,8,30,33,24,57,369,255,6.84,99.92,13,261,107,网络,165,燃气,183,停车,387,627,27,72.21,48,164,100,189,415,244,112,213,18,4,20.63
458,"2022-07-16",B市,1,992,904,88,198,36,35.53,32.54,247,92,6,239,189,250,314,85,38,17,45,179,514,299,2.43,97.04,18,43,193,停车,131,施工,497,噪音,477,155,192,59.56,81,370,28,127,37,0,531,216,221,193,25.48
459,"2022-07-16",A县,2,261,243,18,59,23,21.36,38.77,55,26,2,85,58,71,47,18,9,0,9,41,135,85,1.45,74.68,19,216,4,垃圾,61,快递,99,污染,54,153,74,36.76,40,151,28,60,113,83,172,70,178,80,90.37
460,"2022-07-16",B县,2,407,325,82,187,6,247.61,87.29,84,19,15,63,148,177,19,38,0,4,28,191,138,78,0.51,41.62,20,295,15,交通,262,维修,124,供电,237,97,51,84.88,103,174,274,163,192,142,189,5,285,75,93.49
461,"2022-07-16",A1镇,3,864,798,66,304,38,288.69,61.8,100,44,26,155,272,114,323,24,18,29,6,717,137,10,8.52,40.05,16,773,112,外卖,144,交通,476,道路,105,684,52,28.42,129,525,606,388,597,402,667,27,624,112,92.0
462,"2022-07-16",B1镇,3,624,540,84,19,19,33.37,89.1,70,14,11,244,193,162,25,54,47,14,62,150,344,130,13.92,75.89,17,205,95,供电,460,施工,537,物业,209,505,47,98.56,503,110,527,369,334,78,186,189,33,24,39.01
463,"2022-07-17",A市,1,575,542,33,263,14,265.56,36.74,3,25,9,0,297,207,71,39,26,26,47,145,348,82,13.45,36.63,9,47,25,物业,93,消防,575,违建,398,448,80,37.56,124,123,228,218,42,34,488,4,489,216,82.95
464,"2022-07-17",B市,1,147,140,7,28,0,128.66,93.55,11,12,1,84,27,22,14,4,12,4,10,49,73,25,17.32,50.44,3,108,10,漏水,55,停电,85,供电,100,6,138,37.28,89,23,43,12,70,60,114,5,113,70,98.42
465,"2022-07-17",A县,2,179,141,38,1,15,187.78,52.2,24,3,2,1,4,90,84,6,3,8,4,69,57,53,10.62,91.17,10,122,8,噪音,79,污染,106,排水,164,76,69,95.67,112,1,6,112,77,14,19,70,49,18,24.42
466,"2022-07-17",B县,2,931,730,201,252,21,208.38,38.56,91,32,6,158,241,79,453,70,13,15,65,35,155,741,1.74,35.55,9,310,172,漏水,566,物业,252,电梯,343,642,289,14.6,65,609,506,569,398,257,307,377,177,93,79.91
467,"2022-07-17",A1镇,3,770,726,44,186,3,153.36,63.8,209,6,13,253,326,23,168,40,11,28,39,341,328,101,0.28,45.06,15,715,41,排水,576,消防,168,停电,702,544,99,82.16,321,347,503,92,261,254,42,163,702,634,89.15
468,"2022-07-17",B1镇,3,953,819,134,321,72,13.8,54.08,25,81,37,262,277,377,37,73,87,1,87,149,327,477,1.13,98.56,12,598,119,快递,566,噪音,230,噪音,820,102,255,12.36,98,239,136,151,21,2,108,541,753,102,70.07
469,"2022-07-18",A市,1,449,409,40,27,37,239.45,92.59,114,10,8,58,173,67,151,17,8,8,23,194,82,173,5.34,83.55,18,203,39,信号,168,供暖,196,路灯,230,448,1,90.8,287,141,43,362,288,127,401,7,408,310,26.3
470,"2022-07-18",B市,1,618,531,87,53,57,217.98,39.93,159,32,27,215,7,248,148,22,39,20,16,125,160,333,15.19,30.57,8,341,25,漏水,549,污染,165,供暖,511,406,184,61.71,86,478,330,76,353,40,308,170,226,121,17.22
471,"2022-07-18",A县,2,704,641,63,253,56,92.75,85.69,22,14,16,219,255,127,103,69,70,27,1,227,264,213,4.93,91.04,3,136,24,漏水,310,宽带,363,路灯,317,318,351,45.5,191,121,226,72,585,479,533,90,562,414,96.9
472,"2022-07-18",B县,2,584,439,145,191,14,259.71,90.21,116,33,29,86,204,204,90,23,27,1,52,191,195,198,19.6,49.06,2,216,14,网络,60,供电,317,供暖,150,557,22,67.4,264,6,194,31,341,159,403,19,430,352,33.15
473,"2022-07-18",A1镇,3,241,208,33,15,9,96.64,86.42,29,24,4,22,96,79,44,1,3,0,3,114,45,82,16.48,31.2,19,169,45,供电,236,卫生,82,维修,229,101,128,15.07,51,10,31,46,141,11,100,100,49,22,88.1
474,"2022-07-18",B1镇,3,842,740,102,3,23,281.01,33.34,12,30,14,294,193,198,157,37,60,23,41,40,563,239,15.24,46.35,18,616,166,外卖,285,噪音,545,绿化,154,786,6,31.79,407,269,378,77,593,151,78,384,227,122,37.67
475,"2022-07-19",A市,1,610,484,126,71,41,45.67,35.49,65,31,13,242,244,66,58,8,27,23,59,309,46,255,15.04,39.77,17,55,55,违建,307,网络,534,扰民,156,66,260,98.98,128,178,144,14,352,204,120,301,321,91,36.18
476,"2022-07-19",B市,1,974,969,5,245,20,36.3,51.27,92,44,11,1,321,295,357,18,91,30,51,266,269,439,1.39,87.17,2,531,109,排水,805,信号,842,供暖,406,709,81,99.65,479,294,369,635,925,212,908,54,849,382,77.53
477,"2022-07-19",A县,2,740,563,177,42,46,128.31,30.03,22,11,34,273,115,62,290,40,35,26,30,300,265,175,8.11,90.43,14,85,54,供水,281,信号,453,路灯,589,538,73,93.51,0,588,316,377,355,134,337,69,364,148,75.95
