"md_id","busi_time","sub_name","assess_cnt","satisfaction_one_cnt","satisfaction_two_cnt","satisfaction_three_cnt","satisfaction_four_cnt","satisfaction_five_cnt","satisfaction_zero_cnt"
1360,"2023-01-28",科教文体,274,2,20,79,151,14,8
1361,"2023-01-28",公卫医疗,2,0,0,0,1,1,0
1362,"2023-01-28",城乡建设,361,9,21,106,201,20,4
1363,"2023-01-28",交通运输,173,2,15,53,89,10,4
1364,"2023-01-28",农林牧渔,602,16,46,172,333,33,2
1365,"2023-01-29",科教文体,37,3,0,11,22,0,1
1366,"2023-01-29",公卫医疗,11,0,0,1,7,3,0
1367,"2023-01-29",城乡建设,170,3,10,54,93,9,1
1368,"2023-01-29",交通运输,565,6,25,197,308,25,4
1369,"2023-01-29",农林牧渔,9,0,0,4,5,0,0
1370,"2023-01-30",科教文体,493,13,36,143,273,22,6
1371,"2023-01-30",公卫医疗,810,19,44,258,429,52,8
1372,"2023-01-30",城乡建设,14,0,2,4,7,1,0
1373,"2023-01-30",交通运输,81,1,3,17,53,5,2
1374,"2023-01-30",农林牧渔,730,18,47,195,420,40,10
1375,"2023-01-31",科教文体,850,19,57,250,470,47,7
1376,"2023-01-31",公卫医疗,590,12,39,153,357,25,4
1377,"2023-01-31",城乡建设,68,1,5,18,41,3,0
1378,"2023-01-31",交通运输,153,1,18,47,79,6,2
1379,"2023-01-31",农林牧渔,483,5,31,152,270,22,3
1380,"2023-02-01",科教文体,252,3,17,75,141,14,2
1381,"2023-02-01",公卫医疗,52,0,7,19,24,1,1
1382,"2023-02-01",城乡建设,10,0,0,5,5,0,0
1383,"2023-02-01",交通运输,2,0,0,2,0,0,0
1384,"2023-02-01",农林牧渔,298,4,24,83,166,19,2
1385,"2023-02-02",科教文体,426,8,32,135,226,20,5
1386,"2023-02-02",公卫医疗,859,18,66,249,472,45,9
1387,"2023-02-02",城乡建设,247,3,13,78,142,11,0
1388,"2023-02-02",交通运输,333,11,23,106,173,13,7
1389,"2023-02-02",农林牧渔,62,1,4,24,31,2,0
1390,"2023-02-03",科教文体,50,0,3,14,28,5,0
1391,"2023-02-03",公卫医疗,171,2,15,51,95,6,2
1392,"2023-02-03",城乡建设,133,3,9,36,75,8,2
1393,"2023-02-03",交通运输,370,8,18,110,209,20,5
1394,"2023-02-03",农林牧渔,249,4,18,73,137,13,4
1395,"2023-02-04",科教文体,497,9,27,152,281,24,4
1396,"2023-02-04",公卫医疗,255,1,12,76,149,15,2
1397,"2023-02-04",城乡建设,299,3,24,100,155,14,3
1398,"2023-02-04",交通运输,662,16,44,213,354,32,3
1399,"2023-02-04",农林牧渔,192,6,15,61,101,7,2
1400,"2023-02-05",科教文体,268,6,17,88,138,18,1
1401,"2023-02-05",公卫医疗,254,4,15,65,156,12,2
1402,"2023-02-05",城乡建设,156,2,12,43,90,7,2
1403,"2023-02-05",交通运输,125,5,8,36,68,7,1
1404,"2023-02-05",农林牧渔,463,12,37,123,272,15,4
1405,"2023-02-06",科教文体,390,10,28,99,232,17,4
1406,"2023-02-06",公卫医疗,20,0,1,7,12,0,0
1407,"2023-02-06",城乡建设,248,4,13,60,152,15,4
1408,"2023-02-06",交通运输,160,4,4,51,93,8,0
1409,"2023-02-06",农林牧渔,909,22,72,283,480,39,13
1410,"2023-02-07",科教文体,453,9,32,146,241,23,2
1411,"2023-02-07",公卫医疗,583,13,44,152,333,33,8
1412,"2023-02-07",城乡建设,209,5,12,60,121,10,1
1413,"2023-02-07",交通运输,186,4,14,53,105,8,2
1414,"2023-02-07",农林牧渔,609,16,42,178,339,26,8
1415,"2023-02-08",科教文体,3,0,0,1,2,0,0
1416,"2023-02-08",公卫医疗,66,2,8,17,34,5,0
1417,"2023-02-08",城乡建设,75,2,8,19,44,2,0
1418,"2023-02-08",交通运输,814,11,63,247,454,33,6
1419,"2023-02-08",农林牧渔,81,2,10,26,37,6,0
1420,"2023-02-09",科教文体,108,5,9,37,51,4,2
1421,"2023-02-09",公卫医疗,417,4,29,132,224,21,7
1422,"2023-02-09",城乡建设,282,7,19,87,158,10,1
1423,"2023-02-09",交通运输,3,0,1,0,2,0,0
1424,"2023-02-09",农林牧渔,369,5,25,108,206,24,1
1425,"2023-02-10",科教文体,151,1,10,48,87,4,1
1426,"2023-02-10",公卫医疗,441,8,31,149,236,15,2
1427,"2023-02-10",城乡建设,214,4,15,67,120,7,1
1428,"2023-02-10",交通运输,38,0,2,15,21,0,0
1429,"2023-02-10",农林牧渔,275,6,14,76,162,14,3
1430,"2023-02-11",科教文体,36,0,4,11,20,1,0
1431,"2023-02-11",公卫医疗,551,14,43,169,289,26,10
1432,"2023-02-11",城乡建设,312,6,19,91,166,24,6
1433,"2023-02-11",交通运输,151,3,11,42,80,14,1
1434,"2023-02-11",农林牧渔,51,1,4,18,25,1,2
1435,"2023-02-12",科教文体,625,12,37,198,341,31,6
1436,"2023-02-12",公卫医疗,392,9,31,122,207,21,2
1437,"2023-02-12",城乡建设,224,6,11,67,133,6,1
1438,"2023-02-12",交通运输,12,1,1,3,6,1,0
1439,"2023-02-12",农林牧渔,452,9,27,149,241,18,8
1440,"2023-02-13",科教文体,72,3,2,23,42,1,1
1441,"2023-02-13",公卫医疗,217,4,17,59,122,11,4
1442,"2023-02-13",城乡建设,1062,19,65,339,580,51,8
1443,"2023-02-13",交通运输,192,2,18,58,101,10,3
1444,"2023-02-13",农林牧渔,16,0,2,7,4,1,2
1445,"2023-02-14",科教文体,522,6,27,149,307,27,6
1446,"2023-02-14",公卫医疗,136,2,6,37,82,6,3
1447,"2023-02-14",城乡建设,0,0,0,0,0,0,0
1448,"2023-02-14",交通运输,91,1,11,23,51,5,0
1449,"2023-02-14",农林牧渔,227,5,21,54,136,9,2
1450,"2023-02-15",科教文体,542,10,31,170,305,23,3
1451,"2023-02-15",公卫医疗,389,6,38,109,210,22,4
1452,"2023-02-15",城乡建设,1,0,0,1,0,0,0
1453,"2023-02-15",交通运输,334,15,29,89,182,14,5
1454,"2023-02-15",农林牧渔,164,6,10,49,91,7,1
1455,"2023-02-16",科教文体,197,3,9,64,113,6,2
1456,"2023-02-16",公卫医疗,10,2,0,2,5,0,1
1457,"2023-02-16",城乡建设,347,9,20,89,210,19,0
1458,"2023-02-16",交通运输,440,5,36,137,230,26,6
1459,"2023-02-16",农林牧渔,63,2,1,22,33,4,1
1460,"2023-02-17",科教文体,743,15,44,221,424,30,9
1461,"2023-02-17",公卫医疗,789,19,45,257,415,41,12
1462,"2023-02-17",城乡建设,4,0,0,0,4,0,0
1463,"2023-02-17",交通运输,100,1,7,34,51,4,3
1464,"2023-02-17",农林牧渔,50,2,4,16,24,2,2
1465,"2023-02-18",科教文体,257,7,27,73,137,13,0
1466,"2023-02-18",公卫医疗,329,8,25,103,178,13,2
1467,"2023-02-18",城乡建设,366,7,29,106,208,13,3
1468,"2023-02-18",交通运输,565,9,50,191,282,28,5
1469,"2023-02-18",农林牧渔,295,5,22,87,162,15,4
1470,"2023-02-19",科教文体,613,12,43,186,338,30,4
1471,"2023-02-19",公卫医疗,6,0,1,1,3,0,1
1472,"2023-02-19",城乡建设,3,0,0,1,2,0,0
1473,"2023-02-19",交通运输,85,1,6,24,47,7,0
1474,"2023-02-19",农林牧渔,310,7,24,97,153,24,5
1475,"2023-02-20",科教文体,141,4,12,56,64,4,1
1476,"2023-02-20",公卫医疗,451,6,38,142,237,25,3
1477,"2023-02-20",城乡建设,465,6,32,155,241,27,4
1478,"2023-02-20",交通运输,148,0,12,44,83,8,1
1479,"2023-02-20",农林牧渔,639,11,46,181,360,36,5
1480,"2023-02-21",科教文体,133,1,18,37,69,7,1
1481,"2023-02-21",公卫医疗,98,1,8,23,60,6,0
1482,"2023-02-21",城乡建设,502,8,42,152,264,28,8
1483,"2023-02-21",交通运输,965,19,65,310,504,54,13
1484,"2023-02-21",农林牧渔,210,2,13,63,115,14,3
1485,"2023-02-22",科教文体,859,12,63,269,476,32,7
1486,"2023-02-22",公卫医疗,16,1,0,3,10,2,0
1487,"2023-02-22",城乡建设,327,8,25,77,192,22,3
1488,"2023-02-22",交通运输,226,6,14,67,123,12,4
1489,"2023-02-22",农林牧渔,431,9,33,115,251,21,2
1490,"2023-02-23",科教文体,25,0,2,8,14,1,0
1491,"2023-02-23",公卫医疗,936,21,55,298,509,43,10
1492,"2023-02-23",城乡建设,181,2,13,55,97,13,1
1493,"2023-02-23",交通运输,411,10,23,127,226,21,4
1494,"2023-02-23",农林牧渔,120,5,8,38,65,4,0
1495,"2023-02-24",科教文体,320,5,21,97,170,25,2
1496,"2023-02-24",公卫医疗,477,4,36,148,253,26,10
1497,"2023-02-24",城乡建设,805,12,60,231,458,33,11
1498,"2023-02-24",交通运输,126,4,8,37,66,11,0
1499,"2023-02-24",农林牧渔,149,6,15,45,75,7,1
1500,"2023-02-25",科教文体,95,2,2,33,51,6,1
1501,"2023-02-25",公卫医疗,12,1,1,5,4,1,0
1502,"2023-02-25",城乡建设,0,0,0,0,0,0,0
1503,"2023-02-25",交通运输,642,13,37,206,339,36,11
1504,"2023-02-25",农林牧渔,506,9,26,166,275,25,5
1505,"2023-02-26",科教文体,352,8,23,109,188,23,1
1506,"2023-02-26",公卫医疗,228,4,13,72,130,7,2
1507,"2023-02-26",城乡建设,16,0,0,6,8,1,1
1508,"2023-02-26",交通运输,208,6,17,51,121,12,1
1509,"2023-02-26",农林牧渔,612,12,46,187,337,26,4
1510,"2023-02-27",科教文体,17,0,0,10,6,0,1
1511,"2023-02-27",公卫医疗,67,1,5,19,40,1,1
1512,"2023-02-27",城乡建设,20,0,1,6,11,1,1
1513,"2023-02-27",交通运输,1057,15,74,325,589,47,7
1514,"2023-02-27",农林牧渔,57,1,2,19,35,0,0
1515,"2023-02-28",科教文体,686,14,42,192,392,40,6
1516,"2023-02-28",公卫医疗,45,0,5,18,20,2,0
1517,"2023-02-28",城乡建设,223,5,13,77,113,9,6
1518,"2023-02-28",交通运输,28,0,0,12,14,2,0
1519,"2023-02-28",农林牧渔,54,2,4,15,31,2,0
1520,"2023-03-01",科教文体,249,0,12,73,141,19,4
1521,"2023-03-01",公卫医疗,200,1,15,57,117,7,3
1522,"2023-03-01",城乡建设,159,7,11,42,91,5,3
1523,"2023-03-01",交通运输,62,0,7,19,34,2,0
1524,"2023-03-01",农林牧渔,283,7,24,69,165,13,5
1525,"2023-03-02",科教文体,71,1,3,24,40,2,1
1526,"2023-03-02",公卫医疗,45,0,0,17,28,0,0
1527,"2023-03-02",城乡建设,214,3,12,66,116,13,4
1528,"2023-03-02",交通运输,1051,17,66,311,595,52,10
1529,"2023-03-02",农林牧渔,254,5,17,78,138,14,2
1530,"2023-03-03",科教文体,353,5,14,99,213,18,4
1531,"2023-03-03",公卫医疗,290,3,22,81,164,19,1
1532,"2023-03-03",城乡建设,251,7,20,67,149,6,2
1533,"2023-03-03",交通运输,188,1,12,59,102,10,4
1534,"2023-03-03",农林牧渔,343,9,34,93,185,20,2
1535,"2023-03-04",科教文体,309,2,20,80,185,22,0
1536,"2023-03-04",公卫医疗,305,6,23,86,164,21,5
1537,"2023-03-04",城乡建设,5,0,0,0,5,0,0
1538,"2023-03-04",交通运输,5,0,0,2,2,1,0
1539,"2023-03-04",农林牧渔,741,10,66,223,399,31,12
1540,"2023-03-05",科教文体,105,1,13,32,54,3,2
1541,"2023-03-05",公卫医疗,346,6,21,95,200,22,2
1542,"2023-03-05",城乡建设,783,16,60,241,419,37,10
1543,"2023-03-05",交通运输,698,15,58,205,371,42,7
1544,"2023-03-05",农林牧渔,214,2,14,60,124,11,3
1545,"2023-03-06",科教文体,815,21,52,252,442,42,6
1546,"2023-03-06",公卫医疗,172,0,10,50,98,12,2
1547,"2023-03-06",城乡建设,353,10,18,87,215,21,2
1548,"2023-03-06",交通运输,27,0,1,6,19,1,0
1549,"2023-03-06",农林牧渔,369,5,27,122,196,17,2
1550,"2023-03-07",科教文体,38,0,3,11,23,0,1
1551,"2023-03-07",公卫医疗,294,3,23,87,164,16,1
1552,"2023-03-07",城乡建设,33,0,7,6,18,2,0
1553,"2023-03-07",交通运输,144,4,12,35,82,9,2
1554,"2023-03-07",农林牧渔,6,0,0,2,4,0,0
1555,"2023-03-08",科教文体,931,20,71,283,499,42,16
1556,"2023-03-08",公卫医疗,191,3,13,51,114,10,0
1557,"2023-03-08",城乡建设,2,0,0,1,1,0,0
1558,"2023-03-08",交通运输,278,10,12,80,158,17,1
1559,"2023-03-08",农林牧渔,355,8,35,104,180,22,6
1560,"2023-03-09",科教文体,520,15,28,153,281,37,6
1561,"2023-03-09",公卫医疗,726,19,29,243,386,41,8
1562,"2023-03-09",城乡建设,429,9,28,138,226,21,7
1563,"2023-03-09",交通运输,306,6,21,95,169,13,2
1564,"2023-03-09",农林牧渔,183,5,11,51,107,9,0
1565,"2023-03-10",科教文体,754,16,57,211,420,42,8
1566,"2023-03-10",公卫医疗,113,2,12,30,64,3,2
1567,"2023-03-10",城乡建设,96,1,10,20,54,8,3
1568,"2023-03-10",交通运输,97,3,9,28,49,7,1
1569,"2023-03-10",农林牧渔,264,6,26,81,135,14,2
1570,"2023-03-11",科教文体,334,7,27,105,175,16,4
1571,"2023-03-11",公卫医疗,327,7,20,105,180,13,2
1572,"2023-03-11",城乡建设,1114,16,86,321,615,62,14
1573,"2023-03-11",交通运输,145,4,5,46,83,6,1
1574,"2023-03-11",农林牧渔,159,4,3,53,89,9,1
1575,"2023-03-12",科教文体,136,3,7,35,83,8,0
1576,"2023-03-12",公卫医疗,870,13,45,273,483,52,4
1577,"2023-03-12",城乡建设,821,20,52,278,421,46,4
1578,"2023-03-12",交通运输,13,0,0,7,4,2,0
1579,"2023-03-12",农林牧渔,138,2,10,40,74,11,1
1580,"2023-03-13",科教文体,188,4,13,53,107,9,2
1581,"2023-03-13",公卫医疗,41,0,6,11,18,4,2
1582,"2023-03-13",城乡建设,938,21,60,283,530,41,3
1583,"2023-03-13",交通运输,88,2,9,16,59,1,1
1584,"2023-03-13",农林牧渔,278,5,21,87,143,18,4
1585,"2023-03-14",科教文体,25,0,1,7,15,1,1
1586,"2023-03-14",公卫医疗,414,8,21,125,227,30,3
1587,"2023-03-14",城乡建设,853,20,60,251,475,40,7
1588,"2023-03-14",交通运输,33,2,2,9,19,0,1
1589,"2023-03-14",农林牧渔,512,11,30,156,274,38,3
1590,"2023-03-15",科教文体,40,0,5,6,26,3,0
1591,"2023-03-15",公卫医疗,437,10,30,133,242,19,3
1592,"2023-03-15",城乡建设,265,11,29,74,131,19,1
1593,"2023-03-15",交通运输,89,4,4,27,48,4,2
1594,"2023-03-15",农林牧渔,94,3,9,24,55,3,0
1595,"2023-03-16",科教文体,252,5,14,93,120,15,5
1596,"2023-03-16",公卫医疗,580,12,44,168,325,25,6
1597,"2023-03-16",城乡建设,45,1,6,14,23,1,0
1598,"2023-03-16",交通运输,21,0,2,8,9,2,0
1599,"2023-03-16",农林牧渔,147,1,13,41,81,10,1
1600,"2023-03-17",科教文体,114,1,4,39,65,5,0
1601,"2023-03-17",公卫医疗,886,17,65,250,507,38,9
1602,"2023-03-17",城乡建设,307,6,27,83,171,16,4
1603,"2023-03-17",交通运输,226,5,17,73,112,14,5
1604,"2023-03-17",农林牧渔,206,5,11,64,117,6,3
1605,"2023-03-18",科教文体,83,2,2,25,46,8,0
1606,"2023-03-18",公卫医疗,69,1,5,22,37,4,0
1607,"2023-03-18",城乡建设,758,14,53,245,394,47,5
1608,"2023-03-18",交通运输,609,7,55,174,347,23,3
1609,"2023-03-18",农林牧渔,34,1,4,11,17,1,0
1610,"2023-03-19",科教文体,485,8,32,145,274,19,7
1611,"2023-03-19",公卫医疗,293,3,17,102,151,17,3
1612,"2023-03-19",城乡建设,80,0,5,20,50,4,1
1613,"2023-03-19",交通运输,401,4,33,121,225,17,1
1614,"2023-03-19",农林牧渔,384,10,27,117,213,14,3
1615,"2023-03-20",科教文体,246,4,25,64,139,12,2
1616,"2023-03-20",公卫医疗,84,0,7,20,47,9,1
1617,"2023-03-20",城乡建设,198,3,16,55,111,9,4
1618,"2023-03-20",交通运输,295,10,25,109,137,12,2
1619,"2023-03-20",农林牧渔,91,0,8,35,46,2,0
1620,"2023-03-21",科教文体,151,3,13,44,84,7,0
1621,"2023-03-21",公卫医疗,119,1,8,32,71,4,3
1622,"2023-03-21",城乡建设,1028,21,80,285,577,56,9
1623,"2023-03-21",交通运输,233,6,14,77,127,8,1
1624,"2023-03-21",农林牧渔,127,1,8,41,68,7,2
1625,"2023-03-22",科教文体,496,12,36,145,273,24,6
1626,"2023-03-22",公卫医疗,217,5,14,56,129,11,2
1627,"2023-03-22",城乡建设,198,2,11,68,101,14,2
1628,"2023-03-22",交通运输,178,3,14,50,100,10,1
1629,"2023-03-22",农林牧渔,562,17,28,168,324,22,3
1630,"2023-03-23",科教文体,196,3,7,53,128,5,0
1631,"2023-03-23",公卫医疗,508,9,42,153,277,22,5
1632,"2023-03-23",城乡建设,498,6,37,157,265,29,4
1633,"2023-03-23",交通运输,74,1,3,27,40,3,0
1634,"2023-03-23",农林牧渔,283,11,19,79,152,18,4
1635,"2023-03-24",科教文体,155,2,11,44,88,10,0
1636,"2023-03-24",公卫医疗,325,4,21,103,172,20,5
1637,"2023-03-24",城乡建设,93,2,8,23,53,3,4
1638,"2023-03-24",交通运输,230,7,14,66,129,10,4
1639,"2023-03-24",农林牧渔,194,4,12,64,105,9,0
1640,"2023-03-25",科教文体,465,14,34,143,255,15,4
1641,"2023-03-25",公卫医疗,405,10,31,128,213,18,5
1642,"2023-03-25",城乡建设,225,11,20,69,114,7,4
1643,"2023-03-25",交通运输,768,13,52,247,409,41,6
1644,"2023-03-25",农林牧渔,232,10,17,66,123,14,2
1645,"2023-03-26",科教文体,73,3,9,30,28,2,1
1646,"2023-03-26",公卫医疗,308,11,20,93,167,14,3
1647,"2023-03-26",城乡建设,95,3,4,28,53,7,0
1648,"2023-03-26",交通运输,155,3,10,48,83,10,1
1649,"2023-03-26",农林牧渔,755,12,47,241,414,34,7
1650,"2023-03-27",科教文体,430,12,36,127,232,18,5
1651,"2023-03-27",公卫医疗,426,5,18,142,237,19,5
1652,"2023-03-27",城乡建设,297,5,23,89,160,18,2
1653,"2023-03-27",交通运输,357,5,24,112,196,11,9
1654,"2023-03-27",农林牧渔,38,1,2,8,26,1,0
1655,"2023-03-28",科教文体,19,0,1,10,6,2,0
1656,"2023-03-28",公卫医疗,274,6,18,73,164,11,2
1657,"2023-03-28",城乡建设,56,1,1,19,30,3,2
1658,"2023-03-28",交通运输,304,7,19,88,175,11,4
1659,"2023-03-28",农林牧渔,69,1,4,20,37,4,3
1660,"2023-03-29",科教文体,226,5,17,57,133,11,3
1661,"2023-03-29",公卫医疗,184,5,9,56,104,8,2
1662,"2023-03-29",城乡建设,47,0,4,14,28,1,0
1663,"2023-03-29",交通运输,183,5,19,44,106,7,2
1664,"2023-03-29",农林牧渔,0,0,0,0,0,0,0
1665,"2023-03-30",科教文体,324,7,37,95,160,20,5
1666,"2023-03-30",公卫医疗,520,10,31,161,282,32,4
1667,"2023-03-30",城乡建设,18,0,0,3,11,4,0
1668,"2023-03-30",交通运输,680,13,43,192,382,42,8
1669,"2023-03-30",农林牧渔,495,11,37,152,265,26,4
1670,"2023-03-31",科教文体,45,1,2,17,22,3,0
1671,"2023-03-31",公卫医疗,382,7,26,116,209,18,6
1672,"2023-03-31",城乡建设,279,8,17,87,157,8,2
1673,"2023-03-31",交通运输,7,0,0,5,1,1,0
1674,"2023-03-31",农林牧渔,346,9,28,107,176,22,4
1675,"2023-04-01",科教文体,455,13,34,152,236,18,2
1676,"2023-04-01",公卫医疗,341,4,22,117,177,18,3
1677,"2023-04-01",城乡建设,0,0,0,0,0,0,0
1678,"2023-04-01",交通运输,1086,21,67,346,592,48,12
1679,"2023-04-01",农林牧渔,141,5,8,43,77,6,2
1680,"2023-04-02",科教文体,83,1,6,25,48,2,1
1681,"2023-04-02",公卫医疗,14,0,1,9,3,1,0
1682,"2023-04-02",城乡建设,231,7,19,66,124,11,4
1683,"2023-04-02",交通运输,78,2,3,27,41,5,0
1684,"2023-04-02",农林牧渔,707,15,42,234,379,35,2
1685,"2023-04-03",科教文体,624,12,41,171,347,45,8
1686,"2023-04-03",公卫医疗,147,2,15,41,81,8,0
1687,"2023-04-03",城乡建设,301,4,13,95,173,14,2
1688,"2023-04-03",交通运输,75,3,5,13,45,8,1
1689,"2023-04-03",农林牧渔,263,9,18,81,136,17,2
1690,"2023-04-04",科教文体,87,0,4,29,50,4,0
1691,"2023-04-04",公卫医疗,321,9,25,100,178,6,3
1692,"2023-04-04",城乡建设,274,4,13,85,153,17,2
1693,"2023-04-04",交通运输,522,3,46,156,284,28,5
1694,"2023-04-04",农林牧渔,203,3,18,50,123,6,3
1695,"2023-04-05",科教文体,347,8,24,123,174,14,4
1696,"2023-04-05",公卫医疗,13,0,0,4,7,1,1
1697,"2023-04-05",城乡建设,66,1,2,18,40,5,0
1698,"2023-04-05",交通运输,1020,17,74,315,552,53,9
1699,"2023-04-05",农林牧渔,44,1,3,13,25,2,0
1700,"2023-04-06",科教文体,128,2,7,35,79,4,1
1701,"2023-04-06",公卫医疗,275,7,9,89,149,17,4
1702,"2023-04-06",城乡建设,250,7,16,68,144,14,1
1703,"2023-04-06",交通运输,228,6,15,68,124,14,1
1704,"2023-04-06",农林牧渔,690,6,53,213,375,36,7
1705,"2023-04-07",科教文体,301,8,21,85,169,12,6
1706,"2023-04-07",公卫医疗,107,3,10,28,61,4,1
1707,"2023-04-07",城乡建设,338,6,23,89,193,24,3
1708,"2023-04-07",交通运输,49,0,4,11,30,3,1
1709,"2023-04-07",农林牧渔,435,9,30,108,254,26,8
1710,"2023-04-08",科教文体,139,0,14,44,72,7,2
1711,"2023-04-08",公卫医疗,725,10,50,218,382,55,10
1712,"2023-04-08",城乡建设,305,6,26,90,164,16,3
1713,"2023-04-08",交通运输,212,0,13,67,120,10,2
1714,"2023-04-08",农林牧渔,0,0,0,0,0,0,0
1715,"2023-04-09",科教文体,639,19,46,184,357,22,11
1716,"2023-04-09",公卫医疗,70,0,8,20,36,6,0
1717,"2023-04-09",城乡建设,320,6,29,91,178,13,3
1718,"2023-04-09",交通运输,20,1,2,5,11,1,0
1719,"2023-04-09",农林牧渔,196,7,18,54,107,9,1
1720,"2023-04-10",科教文体,248,4,19,84,127,13,1
1721,"2023-04-10",公卫医疗,193,4,13,60,107,8,1
1722,"2023-04-10",城乡建设,99,3,5,32,52,7,0
1723,"2023-04-10",交通运输,151,2,16,42,78,12,1
1724,"2023-04-10",农林牧渔,78,3,9,25,38,3,0
1725,"2023-04-11",科教文体,674,11,49,213,362,32,7
1726,"2023-04-11",公卫医疗,100,4,6,30,54,6,0
1727,"2023-04-11",城乡建设,127,2,15,35,72,2,1
1728,"2023-04-11",交通运输,176,2,16,48,103,6,1
1729,"2023-04-11",农林牧渔,125,2,9,37,69,7,1
1730,"2023-04-12",科教文体,231,4,10,66,132,14,5
1731,"2023-04-12",公卫医疗,148,8,9,46,79,5,1
1732,"2023-04-12",城乡建设,228,4,12,80,120,10,2
1733,"2023-04-12",交通运输,29,0,4,7,18,0,0
1734,"2023-04-12",农林牧渔,1031,16,64,311,581,49,10
1735,"2023-04-13",科教文体,188,2,16,61,98,8,3
1736,"2023-04-13",公卫医疗,363,8,22,99,213,19,2
1737,"2023-04-13",城乡建设,134,5,5,43,72,9,0
1738,"2023-04-13",交通运输,526,7,35,160,289,29,6
1739,"2023-04-13",农林牧渔,511,11,31,160,275,29,5
1740,"2023-04-14",科教文体,565,11,38,169,320,24,3
1741,"2023-04-14",公卫医疗,74,0,6,22,40,5,1
1742,"2023-04-14",城乡建设,206,3,13,64,119,7,0
1743,"2023-04-14",交通运输,249,3,18,68,148,12,0
1744,"2023-04-14",农林牧渔,281,8,18,97,142,13,3
1745,"2023-04-15",科教文体,73,0,8,24,33,7,1
1746,"2023-04-15",公卫医疗,270,5,10,78,161,12,4
1747,"2023-04-15",城乡建设,152,4,10,48,80,8,2
1748,"2023-04-15",交通运输,573,16,39,142,327,39,10
1749,"2023-04-15",农林牧渔,11,0,0,4,6,0,1
1750,"2023-04-16",科教文体,480,13,46,138,255,19,9
1751,"2023-04-16",公卫医疗,262,5,13,88,134,16,6
1752,"2023-04-16",城乡建设,311,8,27,94,166,14,2
1753,"2023-04-16",交通运输,58,1,10,20,23,4,0
1754,"2023-04-16",农林牧渔,532,15,32,170,281,26,8
1755,"2023-04-17",科教文体,236,5,17,71,134,7,2
1756,"2023-04-17",公卫医疗,46,0,3,15,26,1,1
1757,"2023-04-17",城乡建设,171,5,12,47,101,5,1
1758,"2023-04-17",交通运输,143,6,7,45,69,11,5
1759,"2023-04-17",农林牧渔,205,7,16,46,116,19,1
1760,"2023-04-18",科教文体,7,0,0,4,3,0,0
1761,"2023-04-18",公卫医疗,397,6,26,120,217,24,4
1762,"2023-04-18",城乡建设,555,10,33,168,300,36,8
1763,"2023-04-18",交通运输,16,0,0,2,13,0,1
1764,"2023-04-18",农林牧渔,300,6,21,90,165,14,4
1765,"2023-04-19",科教文体,130,3,5,42,76,3,1
1766,"2023-04-19",公卫医疗,940,26,57,290,520,41,6
1767,"2023-04-19",城乡建设,107,2,7,39,56,3,0
1768,"2023-04-19",交通运输,6,0,1,1,3,1,0
1769,"2023-04-19",农林牧渔,51,1,5,15,28,1,1
1770,"2023-04-20",科教文体,539,7,32,165,307,21,7
1771,"2023-04-20",公卫医疗,510,13,40,155,286,14,2
1772,"2023-04-20",城乡建设,273,5,19,80,149,18,2
1773,"2023-04-20",交通运输,441,11,29,118,254,25,4
1774,"2023-04-20",农林牧渔,27,0,1,11,12,3,0
1775,"2023-04-21",科教文体,142,4,9,40,81,6,2
1776,"2023-04-21",公卫医疗,32,0,1,14,16,1,0
1777,"2023-04-21",城乡建设,57,0,10,15,26,4,2
1778,"2023-04-21",交通运输,23,0,2,4,16,1,0
1779,"2023-04-21",农林牧渔,976,17,66,281,552,48,12
1780,"2023-04-22",科教文体,50,2,3,17,24,3,1
1781,"2023-04-22",公卫医疗,820,26,59,229,462,32,12
1782,"2023-04-22",城乡建设,305,7,19,79,183,14,3
1783,"2023-04-22",交通运输,278,8,32,85,139,12,2
1784,"2023-04-22",农林牧渔,305,5,27,81,165,22,5
1785,"2023-04-23",科教文体,173,1,15,51,94,11,1
1786,"2023-04-23",公卫医疗,216,9,13,63,118,12,1
1787,"2023-04-23",城乡建设,823,18,50,238,459,52,6
1788,"2023-04-23",交通运输,70,1,5,19,42,3,0
1789,"2023-04-23",农林牧渔,181,3,24,52,90,11,1
1790,"2023-04-24",科教文体,217,4,14,56,124,16,3
1791,"2023-04-24",公卫医疗,133,3,7,37,76,9,1
1792,"2023-04-24",城乡建设,231,6,19,68,129,6,3
1793,"2023-04-24",交通运输,162,5,12,48,90,6,1
1794,"2023-04-24",农林牧渔,220,4,14,61,126,13,2
1795,"2023-04-25",科教文体,299,11,16,105,152,12,3
1796,"2023-04-25",公卫医疗,143,2,8,44,85,2,2
1797,"2023-04-25",城乡建设,122,0,6,50,60,6,0
1798,"2023-04-25",交通运输,76,2,4,32,34,4,0
1799,"2023-04-25",农林牧渔,175,2,17,53,91,11,1
1800,"2023-04-26",科教文体,311,6,25,81,185,11,3
1801,"2023-04-26",公卫医疗,26,0,0,12,12,2,0
1802,"2023-04-26",城乡建设,220,4,19,61,117,16,3
1803,"2023-04-26",交通运输,415,8,29,127,228,19,4
1804,"2023-04-26",农林牧渔,283,6,31,73,160,12,1
1805,"2023-04-27",科教文体,444,5,30,127,254,25,3
1806,"2023-04-27",公卫医疗,314,5,27,107,164,10,1
1807,"2023-04-27",城乡建设,35,0,1,13,21,0,0
