"md_id","busi_time","satisfaction_cnt","unsatisfaction_cnt","reply_on_time_cnt","call_cnt","connect_cnt"
695,"2024-03-25",86,82,87,199,111
696,"2024-03-26",144,174,299,348,251
697,"2024-03-27",26,63,26,199,113
698,"2024-03-28",32,4,6,167,8
699,"2024-03-29",139,134,25,297,129
700,"2024-03-30",232,23,355,491,382
701,"2024-03-31",24,197,99,314,47
702,"2024-04-01",158,106,190,333,312
703,"2024-04-02",91,61,41,230,174
704,"2024-04-03",162,12,229,384,196
705,"2024-04-04",24,103,111,137,102
706,"2024-04-05",88,18,13,204,53
707,"2024-04-06",62,95,350,438,253
708,"2024-04-07",98,36,200,209,85
709,"2024-04-08",40,401,434,474,171
710,"2024-04-09",51,113,138,191,146
711,"2024-04-10",90,104,44,376,323
712,"2024-04-11",155,103,189,315,173
713,"2024-04-12",193,40,16,432,174
714,"2024-04-13",98,33,181,220,48
715,"2024-04-14",3,263,145,431,212
716,"2024-04-15",137,13,457,500,206
717,"2024-04-16",9,2,18,158,75
718,"2024-04-17",61,16,35,123,52
719,"2024-04-18",62,52,125,144,104
720,"2024-04-19",8,95,5,103,78
721,"2024-04-20",24,102,456,460,296
722,"2024-04-21",13,295,269,346,76
723,"2024-04-22",76,106,60,217,1
724,"2024-04-23",33,10,13,148,69
725,"2024-04-24",58,73,229,397,128
726,"2024-04-25",12,106,16,188,57
727,"2024-04-26",132,157,107,322,242
728,"2024-04-27",34,37,74,131,16
729,"2024-04-28",63,43,136,150,5
730,"2024-04-29",37,122,106,161,65
731,"2024-04-30",7,90,242,269,5
732,"2024-05-01",3,177,245,489,425
733,"2024-05-02",56,122,10,190,70
734,"2024-05-03",223,118,77,449,112
735,"2024-05-04",21,33,32,330,263
736,"2024-05-05",29,214,241,251,47
737,"2024-05-06",39,9,106,170,18
738,"2024-05-07",196,191,171,484,235
739,"2024-05-08",79,55,339,459,347
740,"2024-05-09",56,71,141,200,84
741,"2024-05-10",58,64,276,414,273
742,"2024-05-11",6,17,75,104,0
743,"2024-05-12",0,57,71,127,55
744,"2024-05-13",62,142,222,243,242
745,"2024-05-14",169,86,277,350,347
746,"2024-05-15",83,193,226,284,184
747,"2024-05-16",168,94,57,384,67
748,"2024-05-17",28,61,64,106,25
749,"2024-05-18",105,74,168,247,207
750,"2024-05-19",122,141,116,454,166
751,"2024-05-20",49,218,38,370,124
752,"2024-05-21",170,209,260,393,191
753,"2024-05-22",115,151,124,392,67
754,"2024-05-23",184,142,376,401,173
755,"2024-05-24",0,310,282,428,260
756,"2024-05-25",35,133,43,169,53
757,"2024-05-26",97,139,5,373,267
758,"2024-05-27",24,22,49,161,112
759,"2024-05-28",100,1,96,213,31
760,"2024-05-29",52,200,177,381,263
761,"2024-05-30",10,35,213,257,117
762,"2024-05-31",49,65,133,135,128
763,"2024-06-01",80,119,62,226,187
764,"2024-06-02",61,6,97,253,81
765,"2024-06-03",186,210,437,457,332
766,"2024-06-04",28,364,312,426,256
767,"2024-06-05",17,290,321,345,212
768,"2024-06-06",21,88,23,116,53
769,"2024-06-07",149,144,350,389,206
770,"2024-06-08",86,44,153,378,348
771,"2024-06-09",35,94,101,158,56
772,"2024-06-10",184,180,271,464,22
773,"2024-06-11",9,18,98,118,65
774,"2024-06-12",76,22,136,168,27
775,"2024-06-13",56,124,264,323,47
776,"2024-06-14",123,77,134,258,191
777,"2024-06-15",26,69,192,193,126
778,"2024-06-16",12,276,34,292,282
779,"2024-06-17",47,3,0,112,58
780,"2024-06-18",86,15,462,478,327
781,"2024-06-19",51,73,58,207,109
782,"2024-06-20",60,37,72,130,87
783,"2024-06-21",113,82,180,478,178
784,"2024-06-22",87,81,63,206,100
785,"2024-06-23",133,9,31,301,193
786,"2024-06-24",166,137,437,453,354
787,"2024-06-25",18,56,18,102,10
788,"2024-06-26",19,156,257,306,292
789,"2024-06-27",86,65,101,174,14
790,"2024-06-28",28,199,53,236,61
791,"2024-06-29",32,31,37,110,12
792,"2024-06-30",57,64,176,180,128
793,"2024-07-01",16,81,22,107,33
794,"2024-07-02",4,83,17,129,31
795,"2024-07-03",133,253,299,437,112
796,"2024-07-04",11,24,15,426,317
797,"2024-07-05",86,65,46,173,172
798,"2024-07-06",151,96,193,356,329
799,"2024-07-07",24,123,164,165,3
800,"2024-07-08",20,27,194,300,142
801,"2024-07-09",55,80,42,185,47
802,"2024-07-10",114,123,31,323,283
803,"2024-07-11",100,50,265,414,7
804,"2024-07-12",9,106,61,180,62
805,"2024-07-13",167,42,126,346,153
806,"2024-07-14",193,125,459,477,435
807,"2024-07-15",146,30,239,315,4
808,"2024-07-16",48,142,195,417,338
809,"2024-07-17",104,241,367,407,364
810,"2024-07-18",7,32,195,329,42
811,"2024-07-19",127,39,107,310,8
812,"2024-07-20",119,73,5,266,81
813,"2024-07-21",186,75,116,393,257
814,"2024-07-22",7,9,401,493,123
815,"2024-07-23",137,63,281,359,257
816,"2024-07-24",110,103,57,459,360
817,"2024-07-25",198,49,202,430,4
818,"2024-07-26",21,106,249,316,103
819,"2024-07-27",6,269,187,319,3
820,"2024-07-28",4,115,242,337,140
821,"2024-07-29",13,319,307,381,318
822,"2024-07-30",95,38,33,220,128
823,"2024-07-31",34,55,209,239,215
824,"2024-08-01",103,86,117,285,106
825,"2024-08-02",0,213,142,235,45
826,"2024-08-03",172,303,299,485,19
827,"2024-08-04",0,154,117,235,170
828,"2024-08-05",43,10,256,352,246
829,"2024-08-06",33,303,39,430,240
830,"2024-08-07",43,294,217,409,192
831,"2024-08-08",13,3,93,225,3
832,"2024-08-09",157,121,137,482,170
833,"2024-08-10",235,60,116,470,79
834,"2024-08-11",32,271,14,305,298
835,"2024-08-12",57,14,115,122,36
836,"2024-08-13",19,155,165,192,44
837,"2024-08-14",178,7,260,359,204
838,"2024-08-15",5,22,217,300,218
839,"2024-08-16",47,3,12,182,15
840,"2024-08-17",61,120,88,208,151
841,"2024-08-18",166,123,264,364,140
842,"2024-08-19",17,414,306,449,121
843,"2024-08-20",64,94,94,228,111
844,"2024-08-21",74,98,144,291,81
845,"2024-08-22",49,280,122,370,145
846,"2024-08-23",57,38,53,187,182
847,"2024-08-24",37,94,195,210,113
848,"2024-08-25",11,94,137,221,17
849,"2024-08-26",89,108,103,236,225
850,"2024-08-27",105,8,209,453,154
851,"2024-08-28",75,162,162,484,72
852,"2024-08-29",94,5,227,253,11
853,"2024-08-30",180,220,234,469,452
854,"2024-08-31",22,53,41,103,53
855,"2024-09-01",98,266,79,417,319
856,"2024-09-02",93,255,366,389,297
857,"2024-09-03",74,4,98,155,37
858,"2024-09-04",157,3,321,468,17
859,"2024-09-05",53,197,12,288,111
860,"2024-09-06",96,323,232,489,145
861,"2024-09-07",99,88,214,239,179
862,"2024-09-08",34,39,134,196,82
863,"2024-09-09",10,32,58,121,64
864,"2024-09-10",44,171,315,323,313
865,"2024-09-11",152,34,197,429,427
866,"2024-09-12",90,117,195,226,139
867,"2024-09-13",68,259,140,461,217
868,"2024-09-14",49,146,177,233,14
869,"2024-09-15",35,83,139,145,23
870,"2024-09-16",116,5,266,274,247
871,"2024-09-17",188,71,132,428,394
872,"2024-09-18",24,212,165,448,110
873,"2024-09-19",67,70,102,254,14
874,"2024-09-20",89,200,186,432,176
875,"2024-09-21",62,36,127,128,44
876,"2024-09-22",125,57,122,469,48
877,"2024-09-23",30,125,292,386,41
878,"2024-09-24",78,73,118,183,71
879,"2024-09-25",61,377,31,476,411
880,"2024-09-26",79,57,135,357,126
881,"2024-09-27",53,26,100,306,281
882,"2024-09-28",51,255,167,388,96
883,"2024-09-29",106,17,47,229,153
884,"2024-09-30",166,15,6,395,250
885,"2024-10-01",17,78,2,100,92
886,"2024-10-02",55,106,42,176,141
887,"2024-10-03",39,37,15,114,72
888,"2024-10-04",27,17,240,247,92
889,"2024-10-05",60,24,133,389,63
890,"2024-10-06",16,154,220,266,51
891,"2024-10-07",159,170,160,420,83
892,"2024-10-08",167,50,200,367,34
893,"2024-10-09",52,284,306,415,163
894,"2024-10-10",22,260,275,315,88
895,"2024-10-11",55,83,165,181,158
896,"2024-10-12",6,108,268,330,171
897,"2024-10-13",73,143,144,237,74
898,"2024-10-14",76,2,184,231,211
899,"2024-10-15",18,125,131,241,230
900,"2024-10-16",62,97,38,168,121
901,"2024-10-17",57,65,162,413,59
902,"2024-10-18",40,363,45,477,258
903,"2024-10-19",46,80,18,200,111
904,"2024-10-20",32,102,47,150,73
905,"2024-10-21",48,106,152,265,54
906,"2024-10-22",88,180,86,285,32
907,"2024-10-23",92,88,202,234,228
908,"2024-10-24",176,50,296,432,164
909,"2024-10-25",41,229,130,345,332
910,"2024-10-26",71,124,155,485,404
911,"2024-10-27",60,70,78,201,17
912,"2024-10-28",4,218,134,253,107
913,"2024-10-29",130,104,232,274,48
914,"2024-10-30",64,63,14,154,110
915,"2024-10-31",77,118,78,264,260
916,"2024-11-01",60,225,69,370,107
917,"2024-11-02",56,182,260,372,222
918,"2024-11-03",40,158,135,217,214
919,"2024-11-04",133,166,386,427,405
920,"2024-11-05",101,46,58,246,211
921,"2024-11-06",71,283,99,381,175
922,"2024-11-07",64,24,197,319,96
923,"2024-11-08",28,112,169,188,150
924,"2024-11-09",55,13,179,204,172
925,"2024-11-10",30,77,44,168,98
926,"2024-11-11",116,142,63,321,66
927,"2024-11-12",71,1,76,165,154
928,"2024-11-13",26,15,240,419,137
929,"2024-11-14",85,218,183,421,201
930,"2024-11-15",67,18,81,163,151
931,"2024-11-16",124,189,262,339,324
932,"2024-11-17",20,155,100,195,68
933,"2024-11-18",56,128,415,449,406
934,"2024-11-19",6,1,106,112,92
935,"2024-11-20",29,99,103,145,94
936,"2024-11-21",149,251,320,400,384
937,"2024-11-22",16,26,97,106,17
938,"2024-11-23",37,145,22,220,87
939,"2024-11-24",37,256,58,386,25
940,"2024-11-25",37,44,142,216,197
941,"2024-11-26",35,41,77,114,93
942,"2024-11-27",148,220,212,497,446
943,"2024-11-28",37,418,230,486,95
944,"2024-11-29",139,335,197,493,314
945,"2024-11-30",56,38,219,466,189
946,"2024-12-01",3,39,152,248,203
947,"2024-12-02",19,12,97,171,76
948,"2024-12-03",31,69,16,137,3
949,"2024-12-04",171,63,134,349,67
950,"2024-12-05",18,226,240,248,31
951,"2024-12-06",29,71,53,114,15
952,"2024-12-07",8,264,289,500,144
953,"2024-12-08",111,154,163,292,199
954,"2024-12-09",21,100,96,161,65
955,"2024-12-10",49,204,228,479,194
956,"2024-12-11",46,334,60,403,26
957,"2024-12-12",132,37,46,339,227
958,"2024-12-13",32,182,24,339,123
959,"2024-12-14",18,134,5,191,77
960,"2024-12-15",81,187,175,347,4
961,"2024-12-16",35,155,258,332,72
962,"2024-12-17",5,254,270,275,27
963,"2024-12-18",55,115,172,192,150
964,"2024-12-19",9,61,111,416,198
965,"2024-12-20",91,78,26,291,80
966,"2024-12-21",120,31,54,267,241
967,"2024-12-22",203,76,430,432,154
968,"2024-12-23",98,246,62,347,302
969,"2024-12-24",87,69,147,233,174
970,"2024-12-25",17,57,160,183,53
971,"2024-12-26",76,69,141,204,199
972,"2024-12-27",95,160,215,326,59
973,"2024-12-28",95,135,175,247,115
974,"2024-12-29",118,65,113,244,20
975,"2024-12-30",92,134,169,238,206
976,"2024-12-31",82,122,202,299,217
977,"2025-01-01",175,37,230,495,328
978,"2025-01-02",65,59,131,254,167
979,"2025-01-03",52,133,31,388,114
980,"2025-01-04",57,165,0,233,47
981,"2025-01-05",66,44,257,273,249
982,"2025-01-06",192,52,416,467,133
983,"2025-01-07",63,124,239,382,76
984,"2025-01-08",112,41,220,308,270
985,"2025-01-09",31,11,79,112,82
986,"2025-01-10",92,74,18,185,22
987,"2025-01-11",187,61,315,425,182
988,"2025-01-12",93,74,369,450,323
989,"2025-01-13",14,81,76,133,99
990,"2025-01-14",16,84,122,128,25
991,"2025-01-15",48,21,35,130,22
992,"2025-01-16",6,192,72,360,129
993,"2025-01-17",16,360,407,411,267
994,"2025-01-18",51,273,69,422,303
995,"2025-01-19",34,0,102,159,129
996,"2025-01-20",40,130,179,252,96
997,"2025-01-21",48,250,185,302,22
998,"2025-01-22",8,74,73,212,211
999,"2025-01-23",59,326,14,437,214
1000,"2025-01-24",55,76,64,131,117
1001,"2025-01-25",106,104,86,308,281
1002,"2025-01-26",45,68,45,117,14
1003,"2025-01-27",32,151,168,220,13
1004,"2025-01-28",43,22,35,119,72
1005,"2025-01-29",30,75,193,223,164
1006,"2025-01-30",177,38,316,445,436
1007,"2025-01-31",198,234,210,479,315
1008,"2025-02-01",49,67,248,320,179
1009,"2025-02-02",10,73,186,233,74
1010,"2025-02-03",59,132,206,232,163
1011,"2025-02-04",22,9,179,237,197
1012,"2025-02-05",32,111,224,295,195
1013,"2025-02-06",15,17,73,110,101
1014,"2025-02-07",161,266,323,499,120
1015,"2025-02-08",22,143,21,499,28
1016,"2025-02-09",70,293,311,396,117
1017,"2025-02-10",35,170,190,237,26
1018,"2025-02-11",187,218,195,488,192
1019,"2025-02-12",77,47,0,246,191
1020,"2025-02-13",79,79,196,357,131
1021,"2025-02-14",24,40,133,213,134
1022,"2025-02-15",27,67,22,256,199
1023,"2025-02-16",164,78,301,373,97
1024,"2025-02-17",24,144,193,272,137
1025,"2025-02-18",129,127,87,265,78
1026,"2025-02-19",134,87,181,298,128
1027,"2025-02-20",9,99,61,127,50
1028,"2025-02-21",187,221,259,458,298
1029,"2025-02-22",29,97,336,407,390
1030,"2025-02-23",133,47,172,290,3
1031,"2025-02-24",19,266,173,369,99
1032,"2025-02-25",9,263,109,284,245
1033,"2025-02-26",6,87,84,140,53
1034,"2025-02-27",124,28,20,319,285
1035,"2025-02-28",47,147,251,286,258
1036,"2025-03-01",48,13,153,265,228
1037,"2025-03-02",36,82,33,175,150
1038,"2025-03-03",123,11,212,375,106
1039,"2025-03-04",8,9,51,141,123
1040,"2025-03-05",33,80,1,134,84
1041,"2025-03-06",113,115,68,261,236
1042,"2025-03-07",67,122,234,412,86
1043,"2025-03-08",80,196,222,316,195
1044,"2025-03-09",79,67,55,483,248
1045,"2025-03-10",137,173,350,398,137
1046,"2025-03-11",63,35,126,131,103
1047,"2025-03-12",47,0,90,170,75
1048,"2025-03-13",171,42,371,478,359
1049,"2025-03-14",29,117,51,186,132
1050,"2025-03-15",38,3,62,166,87
1051,"2025-03-16",74,15,109,201,123
1052,"2025-03-17",74,91,144,204,22
1053,"2025-03-18",168,29,162,371,152
1054,"2025-03-19",8,163,121,224,184
1055,"2025-03-20",2,17,322,489,334
1056,"2025-03-21",37,215,229,323,30
1057,"2025-03-22",124,77,1,282,165
1058,"2025-03-23",75,46,252,257,40
1059,"2025-03-24",50,358,112,493,156
1060,"2025-03-25",18,141,5,205,18
1061,"2025-03-26",10,7,239,339,20
1062,"2025-03-27",111,75,393,487,81
1063,"2025-03-28",1,203,105,214,166
1064,"2025-03-29",70,4,126,146,65
1065,"2025-03-30",83,6,87,168,96
1066,"2025-03-31",83,76,155,187,114
1067,"2025-04-01",68,22,154,173,134
1068,"2025-04-02",79,13,235,344,101
1069,"2025-04-03",28,102,202,273,23
1070,"2025-04-04",122,191,159,491,207
1071,"2025-04-05",38,25,237,401,392
1072,"2025-04-06",165,72,159,359,74
1073,"2025-04-07",14,345,291,382,29
1074,"2025-04-08",114,57,63,283,52
1075,"2025-04-09",7,71,120,124,22
1076,"2025-04-10",100,118,127,241,173
1077,"2025-04-11",10,152,56,167,52
1078,"2025-04-12",44,16,62,129,68
1079,"2025-04-13",158,60,63,450,246
1080,"2025-04-14",71,15,196,278,277
1081,"2025-04-15",91,219,9,334,150
1082,"2025-04-16",95,87,30,272,236
1083,"2025-04-17",52,327,196,451,175
1084,"2025-04-18",57,37,25,124,40
1085,"2025-04-19",28,241,59,477,54
1086,"2025-04-20",113,103,49,302,8
1087,"2025-04-21",60,168,289,443,371
1088,"2025-04-22",95,99,19,243,127
1089,"2025-04-23",108,136,290,373,336
1090,"2025-04-24",144,262,58,420,339
1091,"2025-04-25",20,165,394,433,364
1092,"2025-04-26",162,100,46,380,260
1093,"2025-04-27",2,48,15,108,60
1094,"2025-04-28",52,58,26,140,56
1095,"2025-04-29",13,22,176,182,179
1096,"2025-04-30",39,12,56,169,121
1097,"2025-05-01",66,22,24,140,58
1098,"2025-05-02",190,259,329,487,243
1099,"2025-05-03",107,216,6,335,65
1100,"2025-05-04",20,101,337,400,290
1101,"2025-05-05",142,9,273,294,151
1102,"2025-05-06",108,68,204,228,93
1103,"2025-05-07",26,143,62,293,26
1104,"2025-05-08",175,125,445,483,62
1105,"2025-05-09",57,277,129,383,113
1106,"2025-05-10",54,58,34,129,109
1107,"2025-05-11",25,45,122,163,150
1108,"2025-05-12",13,200,238,331,54
1109,"2025-05-13",14,216,296,373,125
1110,"2025-05-14",1,152,53,246,28
1111,"2025-05-15",48,153,93,385,309
1112,"2025-05-16",36,4,103,109,42
1113,"2025-05-17",107,168,170,382,86
1114,"2025-05-18",136,63,211,279,226
1115,"2025-05-19",46,187,193,406,95
1116,"2025-05-20",29,90,5,145,31
1117,"2025-05-21",120,49,152,248,106
1118,"2025-05-22",19,179,98,312,196
1119,"2025-05-23",90,139,160,362,204
1120,"2025-05-24",20,57,67,207,99
1121,"2025-05-25",107,166,243,274,204
1122,"2025-05-26",72,23,37,424,387
1123,"2025-05-27",82,15,173,245,79
1124,"2025-05-28",90,45,134,231,126
1125,"2025-05-29",169,179,283,388,297
1126,"2025-05-30",72,84,81,174,116
1127,"2025-05-31",83,102,186,453,147
1128,"2025-06-01",187,181,143,499,484
1129,"2025-06-02",69,88,19,293,139
1130,"2025-06-03",9,191,305,415,378
1131,"2025-06-04",77,162,39,258,238
1132,"2025-06-05",57,10,58,224,11
1133,"2025-06-06",137,75,262,341,91
1134,"2025-06-07",72,37,52,187,172
1135,"2025-06-08",105,126,116,288,177
1136,"2025-06-09",41,175,50,496,264
1137,"2025-06-10",74,91,149,310,207
1138,"2025-06-11",120,299,170,427,79
1139,"2025-06-12",29,249,32,401,337
1140,"2025-06-13",26,184,32,289,273
1141,"2025-06-14",17,8,259,286,94
1142,"2025-06-15",30,135,113,168,110
1143,"2025-06-16",171,253,14,471,162
1144,"2025-06-17",31,24,74,134,68
1145,"2025-06-18",17,85,114,117,90
1146,"2025-06-19",166,177,157,362,137
1147,"2025-06-20",51,135,178,240,14
1148,"2025-06-21",49,38,131,180,101
1149,"2025-06-22",7,23,209,424,240
1150,"2025-06-23",52,50,65,357,139
1151,"2025-06-24",84,239,219,386,106
1152,"2025-06-25",1,219,132,349,149
1153,"2025-06-26",10,112,10,133,41
1154,"2025-06-27",30,20,344,478,131
1155,"2025-06-28",134,40,226,299,145
1156,"2025-06-29",28,84,118,128,9
1157,"2025-06-30",236,58,150,486,214
1158,"2025-07-01",15,17,39,223,12
1159,"2025-07-02",2,288,303,466,308
1160,"2025-07-03",166,37,48,375,306
1161,"2025-07-04",78,36,92,169,156
1162,"2025-07-05",41,218,243,312,229
1163,"2025-07-06",0,194,5,227,3
1164,"2025-07-07",88,75,181,307,95
1165,"2025-07-08",38,13,190,250,139
1166,"2025-07-09",56,145,182,334,140
1167,"2025-07-10",24,49,162,303,39
1168,"2025-07-11",49,38,193,487,473
1169,"2025-07-12",5,58,352,377,282
1170,"2025-07-13",46,161,274,372,362
1171,"2025-07-14",98,171,63,396,158
1172,"2025-07-15",7,143,164,313,118
1173,"2025-07-16",83,123,67,209,78
1174,"2025-07-17",108,109,13,365,213
1175,"2025-07-18",95,32,210,340,80
1176,"2025-07-19",78,55,56,321,142
1177,"2025-07-20",27,151,22,183,151
1178,"2025-07-21",49,62,257,296,114
1179,"2025-07-22",187,140,229,447,224
1180,"2025-07-23",178,204,386,431,211
1181,"2025-07-24",53,76,36,159,69
1182,"2025-07-25",74,206,87,318,18
1183,"2025-07-26",49,161,189,228,110
1184,"2025-07-27",153,34,242,353,262
1185,"2025-07-28",52,29,95,217,172
1186,"2025-07-29",97,133,185,278,256
1187,"2025-07-30",170,165,73,470,442
1188,"2025-07-31",51,93,258,418,156
1189,"2025-08-01",148,63,290,413,63
